formula_norm,source,n,med,lo,hi,sd,range
Ba2BiSbO6,OQMD,16,1.8745000000000003,1.84,3.057,0.3023277953370038,1.2169999999999999
Ba2BiTeO6,OQMD,1,0.852,0.852,0.852,,0.0
Ba2BiWO6,MP,1,1.960399999999999,1.960399999999999,1.960399999999999,,0.0
Ba2CaMoO6,AFLOW,3,2.1194,2.117,2.1195,0.001415391583037509,0.0024999999999999467
Ba2CaMoO6,JARVIS,1,2.148,2.148,2.148,,0.0
Ba2CaMoO6,MP,1,2.258,2.258,2.258,,0.0
Ba2CaMoO6,OQMD,11,2.234,2.0829999999999997,2.245,0.06940146710526833,0.16200000000000037
Ba2CaTeO6,AFLOW,1,2.9961,2.9961,2.9961,,0.0
Ba2CaTeO6,JARVIS,1,3.255,3.255,3.255,,0.0
Ba2CaTeO6,MP,1,2.9976000000000003,2.9976000000000003,2.9976000000000003,,0.0
Ba2CaTeO6,OQMD,9,3.444,3.326,3.483,0.06194957626973737,0.15700000000000003
Ba2CaV2O8,OQMD,1,3.9159999999999995,3.9159999999999995,3.9159999999999995,,0.0
Ba2CaWO6,AFLOW,9,2.8571,2.8561,2.9567,0.0461163474269158,0.10060000000000002
Ba2CaWO6,JARVIS,3,0.609,0.569,0.609,0.023094010767585067,0.040000000000000036
Ba2CaWO6,MP,4,3.1887999999999996,3.183,3.2912,0.052269143223639555,0.10820000000000007
Ba2CaWO6,OQMD,10,3.0635,2.88,3.0860000000000003,0.09325091599192671,0.2060000000000004
Ba2CdGe2O7,JARVIS,1,2.807,2.807,2.807,,0.0
Ba2CdGe2O7,MP,1,2.9166,2.9166,2.9166,,0.0
Ba2CdMoO6,MP,1,2.5376000000000003,2.5376000000000003,2.5376000000000003,,0.0
Ba2CdMoO6,OQMD,13,2.281,1.7599999999999998,2.44,0.2216060549482881,0.6800000000000002
Ba2CdTeO6,OQMD,17,1.248,1.11,2.312,0.34412100300022713,1.2019999999999997
Ba2CdWO6,OQMD,8,3.2855,3.094,3.392,0.08231201526595533,0.29800000000000004
Ba2CeCrO6,OQMD,1,0.577,0.577,0.577,,0.0
Ba2CeHfO6,MP,2,2.19585,2.1719,2.2198,0.03387041481883582,0.047900000000000276
Ba2CeNbO6,OQMD,10,3.1775,3.0720000000000005,3.274,0.07370730402522313,0.2019999999999995
Ba2CeRuO6,OQMD,7,0.31400000000000006,0.29499999999999993,0.44499999999999984,0.07694091734509498,0.1499999999999999
Ba2CeSbO6,OQMD,8,4.1419999999999995,3.9500000000000006,4.232999999999999,0.1333531830462675,0.28299999999999814
Ba2CeSnO6,MP,2,2.129049999999999,2.113699999999999,2.144399999999999,0.021708178182427287,0.030700000000000394
Ba2CeTaO6,OQMD,7,3.706,3.5300000000000002,3.814,0.08462072244235827,0.2839999999999998
Ba2CeVO6,OQMD,5,1.806,1.8010000000000002,1.9550000000000005,0.06944278220232841,0.15400000000000036
Ba2CeZrO6,JARVIS,1,2.233,2.233,2.233,,0.0
Ba2CeZrO6,MP,4,2.3156,2.2585,2.5683,0.13969900977935854,0.30979999999999963
Ba2Co(AsO4)2,OQMD,1,2.8659999999999997,2.8659999999999997,2.8659999999999997,,0.0
Ba2Co(PO4)2,AFLOW,1,3.5461,3.5461,3.5461,,0.0
Ba2Co(PO4)2,MP,1,1.4643000000000002,1.4643000000000002,1.4643000000000002,,0.0
Ba2CoBiO6,OQMD,2,0.744,0.626,0.862,0.1668772003600252,0.236
Ba2CoGe2O7,AFLOW,5,2.6982,2.6977,2.7029,0.0025288337232802867,0.005199999999999871
Ba2CoGe2O7,MP,1,2.124,2.124,2.124,,0.0
Ba2CoIrO6,OQMD,1,0.377,0.377,0.377,,0.0
Ba2CoMoO6,MP,1,1.274,1.274,1.274,,0.0
Ba2CoMoO6,OQMD,8,1.0200000000000005,0.802999999999999,1.6179999999999994,0.25168844118983974,0.8150000000000004
Ba2CoPbO6,OQMD,1,0.629,0.629,0.629,,0.0
Ba2CoPdO6,OQMD,1,0.502,0.502,0.502,,0.0
Ba2CoReO6,AFLOW,1,0.2893,0.2893,0.2893,,0.0
Ba2CoReO6,MP,1,0.19819999999999902,0.19819999999999902,0.19819999999999902,,0.0
Ba2CoReO6,OQMD,6,0.255,0.249000000000001,0.382000000000001,0.06247452814280944,0.133
Ba2CoSO6,OQMD,2,0.9665000000000001,0.9010000000000002,1.032,0.09263098833543758,0.13099999999999978
Ba2CoSbO6,OQMD,6,0.4375,0.252,0.994,0.3199887498022391,0.742
Ba2CoSeO6,OQMD,3,0.381,0.3809999999999998,0.512,0.07563288526384104,0.13100000000000023
Ba2CoSi2O7,AFLOW,2,3.7458,3.7004,3.7912,0.06420529573173835,0.09079999999999977
Ba2CoSi2O7,MP,2,2.4604499999999994,1.7828,3.138099999999999,0.958341820542127,1.3552999999999988
Ba2CoTcO6,OQMD,3,0.347,0.347,0.354,0.004041451884327388,0.007000000000000006
Ba2CoTeO6,OQMD,9,1.369,1.1389999999999993,1.858,0.19517670056757414,0.7190000000000007
Ba2CoWO6,MP,1,1.8426999999999991,1.8426999999999991,1.8426999999999991,,0.0
Ba2CoWO6,OQMD,6,1.5845,1.41,2.232,0.2870844242843327,0.8220000000000003
Ba2CrAsO6,OQMD,2,0.4475,0.383,0.512,0.09121677477306463,0.129
Ba2CrBO6,OQMD,1,0.502,0.502,0.502,,0.0
Ba2CrBiO6,OQMD,11,0.62,0.248,1.223,0.32993889241384194,0.9750000000000001
Ba2CrBrO6,OQMD,3,1.2600000000000002,1.256,1.2609999999999997,0.0026457513110645825,0.004999999999999671
Ba2CrCoO6,OQMD,2,0.4499999999999999,0.3849999999999998,0.515,0.09192388155425134,0.13000000000000023
Ba2CrFeO6,OQMD,3,0.257,0.251,0.624,0.21364066404440268,0.373
Ba2CrGaO6,OQMD,5,0.376,0.251,0.977,0.300374432999881,0.726
Ba2CrGeO6,OQMD,1,0.512,0.512,0.512,,0.0
Ba2CrInO6,OQMD,4,0.5585,0.373,0.852,0.20428819512313154,0.479
Ba2CrMoO6,OQMD,1,0.796,0.796,0.796,,0.0
Ba2CrNiO6,OQMD,10,0.757,0.627,0.769,0.06591947950172072,0.14200000000000002
Ba2CrOsO6,OQMD,1,0.802,0.802,0.802,,0.0
Ba2CrRuO6,OQMD,1,0.615,0.615,0.615,,0.0
Ba2CrSO6,OQMD,2,1.4020000000000006,1.4010000000000007,1.4030000000000005,0.0014142135623729393,0.0019999999999997797
Ba2CrSbO6,OQMD,11,1.128,1.118,2.103,0.38706325534253916,0.9850000000000001
Ba2CrSnO6,OQMD,8,0.6775,0.498,0.762999999999999,0.11048262630063463,0.264999999999999
Ba2CrTeO6,OQMD,3,0.374,0.249,1.475,0.6746483034391574,1.226
Ba2CrWO6,OQMD,6,0.61,0.518999999999999,1.701,0.46110103737322783,1.182000000000001
