formula,in_296,pred,abs_lo,abs_hi,cqr_lo,cqr_hi,contain_abs,contain_cqr
Sr2CoNbO6,True,0.8780099104686993,-0.0043621381320203545,1.7603819590694187,0.26624210124784053,1.7340412134468286,0.0,0.0
Sr2CoNiO6,True,0.8773271402524233,-0.005044908348296295,1.7596991888531428,0.14661194205818928,1.4874485226569103,0.0,0.0
Sr2CoPdO6,True,0.49635961470610346,-0.38601243389461615,1.378731663306823,0.1435834105666432,1.4791067990844695,0.0,0.0
Sr2CoReO6,True,1.1894705983940528,0.3070985497933332,2.0718426469947726,0.2560648693252888,2.1407173902359493,0.0,0.0
Sr2CoRhO6,True,0.33043814505262736,-0.5519339035480922,1.2128101936533469,0.03252279882521891,1.270120651668532,0.0,0.0
Sr2CoRuO6,True,0.6941127421703942,-0.1882593064303254,1.5764847907711137,0.0821410431509852,1.2381831957394356,0.0,0.0
Sr2CoSbO6,True,1.114458746483229,0.23208669788250935,1.9968307950839486,0.19630463409880178,1.8782571587448644,0.0,0.0
Sr2CoScO6,False,1.1498654798552583,0.2674934312545387,2.032237528455978,0.3378538858750937,2.1533254145830436,0.0,0.0
Sr2CoSnO6,True,1.2688666305937735,0.38649458199305387,2.151238679194493,0.23112227669980256,1.9010578239840692,0.21377183967112023,0.0
Sr2CoTaO6,False,0.9565456982457615,0.07417364964504192,1.838917746846481,0.4819944077886834,1.806026232367596,0.0,0.0
Sr2CoTeO6,False,1.2179205908806283,0.3355485422799087,2.100292639481348,0.18792266914247624,2.0488011008554072,0.06680369989722508,0.0
Sr2CoTiO6,False,0.8010254117898586,-0.08134663681086096,1.6833974603905784,0.3975274314856412,1.8046940472191335,0.0,0.0
Sr2CoVO6,False,1.0924758435576893,0.21010379495696974,1.974847892158409,0.400810328149085,1.7277585996715996,0.0,0.0
Sr2CoWO6,True,1.1074269425865728,0.2250548939858532,1.9897989911872924,0.16777300479835372,2.0531154582417335,0.0,0.0
Sr2CoYO6,False,0.9862313298555412,0.10385928125482158,1.8686033784562608,0.4233093908630807,2.134833185701481,0.0,0.0
