formula,pred,abs_lo,abs_hi,cqr_lo,cqr_hi,contain_abs,contain_cqr
Sr2MoAlO6,0.8125005565623222,-0.06987149203839738,1.6948726051630418,0.23326009671007097,2.7043434174979666,0.0,0.0
Sr2YIrO6,0.9184129107933225,0.03604086219260294,1.8007849593940422,0.41253124914730854,2.55730747739679,0.0,0.0
Sr2RuHfO6,0.799527374398179,-0.0828446742025406,1.6818994229988986,0.45286528213215826,2.1045707883097218,0.0,0.0
Sr2YReO6,0.7510547402109802,-0.13131730838973943,1.6334267888116998,0.3122158002503801,2.8880165912864504,0.0,0.0
Sr2CrReO6,0.6754086566366089,-0.20696339196411073,1.5577807052373285,0.3872098953771739,2.0277855444113175,0.0,0.0
Sr2ZrRhO6,0.740516417393953,-0.14185563120676659,1.6228884659946727,0.2456378429618129,1.9884306145949249,0.0,0.0
Sr2ScIrO6,0.716432683050204,-0.16593936555051558,1.5988047316509237,0.38400268232248413,2.3895632767853887,0.0,0.0
Sr2IrTeO6,0.8255615905864466,-0.05681045801427298,1.7079336391871662,0.09213769398083738,2.2715801176756125,0.0,0.0
Sr2WReO6,0.7273805513827232,-0.15499149721799643,1.6097525999834428,0.21132514453123635,2.0089331904980936,0.0,0.0
Sr2RuReO6,0.9013182722534377,0.01894622365271814,1.7836903208541575,0.19843490251557866,1.7628691447679241,0.0,0.0
Sr2NbSnO6,2.2102610297095477,1.3278889811088281,3.0926330783102673,1.4322603574649637,3.173690728873197,0.0,0.0
Sr2HfWO6,0.78064201944868,-0.10173002915203966,1.6630140680493994,0.18248583893164178,2.145114627146215,0.0,0.0
Sr2RhReO6,0.7249028368668466,-0.15746921173387296,1.6072748854675662,0.10861506517675307,1.6579065788742295,0.0,0.0
Sr2MoHfO6,0.6729264160396996,-0.20944563256102,1.555298464640419,0.12507477991257404,2.075246584689109,0.0,0.0
Sr2WInO6,2.1776324962284574,1.2952604476277378,3.060004544829177,0.9642228406965575,3.0990018177478307,0.0,0.0
Sr2WGaO6,2.2179080851863553,1.3355360365856357,3.100280133787075,0.955297256802465,3.2589352929991313,0.0,0.0
Sr2RuIrO6,0.8978713799620114,0.01549933136129178,1.780243428562731,0.1553759267544247,1.5778440422703222,0.0,0.0
Sr2WIrO6,0.7277364307032179,-0.1546356178975017,1.6101084793039375,0.11046021252613797,1.6152037082861224,0.0,0.0
Sr2IrSnO6,0.5590700594128376,-0.323301989187882,1.441442108013557,0.12896230472473652,2.129867155661456,0.0,0.0
Sr2ScWO6,0.5441438988534881,-0.3382281497472315,1.4265159474542077,0.26947315420048235,3.066089995961596,0.0,0.0
Sr2ReBiO6,0.6093323905461104,-0.27303965805460917,1.49170443914683,0.4394616423458305,2.398274944503574,0.0,0.0
Sr2NbReO6,0.5647960934175384,-0.31757595518318116,1.447168142018258,0.1967377463776983,1.9653579751973398,0.0,0.0
Sr2MoReO6,0.47596518113379355,-0.40640686746692606,1.358337229734513,0.21451128176506573,1.7097256196431485,0.0,0.0
Sr2TiRhO6,0.623271063417389,-0.2591009851833306,1.5056431120181086,0.2304335738346585,1.7066948473489698,0.0,0.0
Sr2VRuO6,0.5945603634096649,-0.2878116851910547,1.4769324120103846,0.200971785913577,1.8136027851382424,0.0,0.0
Sr2IrGaO6,0.4139726312920919,-0.4683994173086277,1.2963446798928115,0.13978202976520843,2.4758864219887107,0.0,0.0
Sr2NiIrO6,0.7681566697682861,-0.11421537883243349,1.6505287183690056,0.1039804021108181,1.7824958510829414,0.0,0.0
Sr2RhSnO6,0.639741935215363,-0.24263011338535656,1.5221139838160826,0.10872253029620232,1.931392121924628,0.0,0.0
Sr2ReIrO6,0.8596079243657708,-0.02276412423494878,1.7419799729664904,0.03954276942372914,2.1374774709619184,0.0,0.0
Sr2ZrMoO6,0.525101196126076,-0.35727085247464363,1.4074732447267957,0.11817499075106036,1.946530319363724,0.0,0.0
Sr2MoGeO6,0.5686670115589413,-0.3137050370417783,1.451039060159661,0.18393586508430204,2.3494108997579337,0.0,0.0
Sr2CoRuO6,0.6941127421703942,-0.1882593064303254,1.5764847907711137,0.0821410431509852,1.2381831957394356,0.0,0.0
Sr2ZrRuO6,0.7709080990049203,-0.1114639495957993,1.6532801476056398,0.2817558714045961,2.0488271312881996,0.0,0.0
Sr2IrGeO6,0.49164714691091244,-0.39072490168980717,1.374019195511632,0.0326385127912619,2.1427052611143247,0.0,0.0
Sr2NbRuO6,0.590735390485153,-0.2916366581155666,1.4731074390858727,0.18536313234873297,1.692015613164053,0.0,0.0
Sr2TaReO6,0.6515835191515162,-0.23078852944920336,1.5339555677522358,0.2085468753913578,2.4280194907537997,0.0,0.0
Sr2ZrWO6,0.4150205188788318,-0.4673515297218878,1.2973925674795515,0.16898070333185738,2.0849002136935626,0.0,0.0
Sr2MoWO6,0.5887749706209903,-0.29359707797972934,1.4711470192217098,0.10156042196665888,1.336180637383726,0.0,0.0
Sr2ScReO6,0.5464216982938613,-0.33595035030685827,1.428793746894581,0.2608895249266664,2.7050462354813662,0.0,0.0
Sr2CrIrO6,0.4516310170978457,-0.4307410315028739,1.3340030656985653,0.14507331946779267,1.4156109899744274,0.0,0.0
Sr2CrFeO6,0.8492903900717884,-0.03308165852893119,1.7316624386725081,0.29286785774497814,1.6374927260792154,0.0,0.0
Sr2IrBiO6,0.41160324594404507,-0.47076880265667453,1.2939752945447647,0.20823912679609713,2.1576997161600184,0.0,0.0
Sr2RhGeO6,0.3632355283106247,-0.5191365202900948,1.2456075769113444,-0.00819662586182357,1.8633179830258877,0.0,0.0
Sr2IrInO6,0.3048463101293647,-0.5775257384713549,1.1872183587300844,0.1676410227221674,2.3423271077442567,0.0,0.0
Sr2MoIrO6,0.6187171378547569,-0.2636549107459627,1.5010891864554765,0.110596999236029,1.422314043891538,0.0,0.0
Sr2ScMoO6,0.6392893270424035,-0.24308272155831612,1.5216613756431232,0.25419747520004443,2.512307153083862,0.0,0.0
Sr2VReO6,0.5608973813083751,-0.32147466729234453,1.4432694299090947,0.19617666242577542,2.0933396213057605,0.0,0.0
Sr2MnRuO6,0.5357315877352561,-0.3466404608654635,1.4181036363359758,0.05949018642107201,1.460710907191424,0.0,0.0
Sr2MnCoO6,0.7276779471227786,-0.15469410147794105,1.6100499957234982,0.08694299855586907,1.519436792609267,0.0,0.0
Sr2MnCuO6,0.7908232351355955,-0.09154881346512411,1.673195283736315,0.1690355934784855,2.0416654574764985,0.0,0.0
Sr2ReSbO6,0.4302810598138766,-0.452090988786843,1.3126531084145963,0.17831625522033268,2.2581195784635963,0.0,0.0
Sr2TaGeO6,2.6077518444032988,1.7253797958025792,3.4901238930040184,1.0650250103203813,3.5659043024165773,0.0,0.0
Sr2RhTeO6,0.7887451652988876,-0.093626883301832,1.671117213899607,0.07231443302464452,2.0377275857469215,0.0,0.0
Sr2RuTeO6,0.5721364220868422,-0.31023562651387737,1.454508470687562,0.015488062004258119,1.9841269727770654,0.0,0.0
Sr2TiMoO6,0.5600003169441362,-0.3223717316565834,1.442372365544856,0.1084918358503611,1.6481643822413292,0.0,0.0
Sr2NiRuO6,0.40305816090266516,-0.47931388769805444,1.2854302095033847,0.0411194274299988,1.4754488122903595,0.0,0.0
Sr2TaTeO6,2.747406376786655,1.8650343281859354,3.6297784253873746,1.3358978729691042,3.5424428371310235,0.0,0.0
Sr2ZnRuO6,0.4872972534621971,-0.3950747951385225,1.3696693020629167,0.13493244532435844,2.0258713826414776,0.0,0.0
Sr2TiWO6,0.49745424636522334,-0.38491780223549626,1.379826294965943,0.09558982383755593,1.9770796099527441,0.0,0.0
Sr2RuSnO6,0.40722357103364737,-0.47514847756707224,1.289595619634367,0.04995505481394874,2.0027754305539722,0.0,0.0
Sr2RuSbO6,0.35423394326478597,-0.5281381053359336,1.2366059918655057,0.0008365123538978669,1.8981860352389632,0.0,0.0
Sr2CoRhO6,0.33043814505262736,-0.5519339035480922,1.2128101936533469,0.03252279882521891,1.270120651668532,0.0,0.0
Sr2RuRhO6,0.6340313341987445,-0.24834071440197514,1.516403382799464,0.05029201935316019,1.1303255465606565,0.0,0.0
Sr2MnNiO6,0.7910397139624274,-0.09133233463829216,1.673411762563147,0.051638642740460705,1.3544922376444863,0.0,0.0
Sr2MnRhO6,0.49978824021665796,-0.38258380838406164,1.3821602888173776,0.022156801597660924,1.0873772477302386,0.0,0.0
Sr2RuGeO6,0.24152012528148648,-0.6408519233192331,1.123892173882206,-0.02076297175378497,2.087269411414991,0.0,0.0
Sr2CrRhO6,0.17870247659012994,-0.7036695720105897,1.0610745251908495,0.08859605479746518,1.057127137625126,0.0,0.0
Sr2RhIrO6,0.227354822036274,-0.6550172265644456,1.1097268706369936,0.09323664887606076,1.3876595196786674,0.0,0.0
Sr2CuRuO6,0.21194736149875612,-0.6704246871019635,1.0943194100994758,0.029802572550997664,1.610763095522144,0.0,0.0
Sr2NiRhO6,0.33260556569586797,-0.5497664829048516,1.2149776142965876,0.014239462042600182,1.2934383939566185,0.0,0.0
Sr2MoRhO6,0.09663280132617193,-0.7857392472745477,0.9790048499268915,0.04704247251891319,1.0344535301258206,0.0,0.0
Sr2RhPdO6,0.06685138297904314,-0.8155206656216765,0.9492234315797627,0.08793582505467584,1.4121412279009555,0.0,0.0
Sr2CuIrO6,0.2045803778996573,-0.6777916707010623,1.086952426500377,0.025687240745902895,1.4936481240355675,0.0,0.0
Sr2VTeO6,1.8421974879217617,0.9598254393210421,2.7245695365224814,0.9301811308432922,3.076557181704825,0.0,0.0
Sr2ReGaO6,1.374419953559225,0.49204790495850537,2.2567920021599446,0.47903928671512375,3.198539965808554,0.4563206577595067,0.0
Sr2NiReO6,1.407498335029616,0.5251262864288964,2.2898703836303356,0.2613896666784207,2.161498182004601,0.49640287769784175,0.0
Sr2TiZrO6,1.1295627945589222,0.24719074595820256,2.0119348431596418,0.45117023466059936,2.9092654465984795,0.0,0.0
Sr2SbBiO6,1.4700590668335292,0.5876870182328096,2.352431115434249,0.38566329521615716,2.488816445724395,0.5775950668036999,0.0
Sr2WGeO6,1.198007435590942,0.3156353869902224,2.0803794841916616,0.4715122727102178,2.7910988992106835,0.0,0.0
Sr2GeBiO6,1.445581211801094,0.5632091632003744,2.327953260401814,0.3734477749268219,2.6781243211628483,0.5447070914696814,0.0
Sr2MnZrO6,1.3980853694369866,0.515713320836267,2.280457418037706,0.5755459319959988,2.0714683769563864,0.4840698869475848,0.0
Sr2SnTeO6,1.7728515531557105,0.8904795045549909,2.65522360175643,0.3966820512831941,2.7202234402245122,0.09044193216855087,0.0
Sr2CoIrO6,1.4350890399184113,0.5527169913176917,2.317461088519131,0.17788554171194676,2.235584163053555,0.5313463514902363,0.0
