formula,formula_norm,tier,bg_pred,bg_ci_lo,bg_ci_lo_clip,bg_ci_hi,ci_width,dist_to_pv_centre,metal_risk,bg_pred_zeros,bg_pred_MP,e_class,mondrian_lo,mondrian_hi,mondrian_tier,reclassified
Sr2NbReO6,Sr2NbReO6,A2,0.7139082886926849,-0.1405166754272195,0.0,1.558555947743668,1.6990726231708877,0.7860917113073151,False,0.8406229158155004,1.1455769871783223,open,0.0,1.4535182101814197,A2,False
Sr2MoReO6,Sr2ReMoO6,A2,0.7116579632484993,-0.1418185136822749,0.0,1.5538905224112467,1.6957090360935216,0.7883420367515007,False,0.8354849857978387,1.1918462278766655,open,0.0,1.4512678847372342,A2,False
Sr2TiRhO6,Sr2TiRhO6,A2,0.7078140026068782,-0.1369039787018792,0.0,1.5535649144082422,1.6904688931101215,0.7921859973931218,False,0.7437730906016153,0.8517670930083715,open,0.0,1.447423924095613,A2,False
Sr2VRuO6,Sr2VRuO6,A2,0.7020099760869618,-0.1343082065299331,0.0,1.5493978729454845,1.6837060794754173,0.7979900239130382,False,0.7478827838654779,0.927477649349491,open,0.0,1.4416198975756966,A2,False
Sr2IrGaO6,Sr2GaIrO6,A2,0.7019505153846869,-0.1579665781097686,0.0,1.5566816410680908,1.7146482191778594,0.7980494846153131,False,0.7041630655868691,0.8028516242829032,open,0.0,1.4415604368734218,A2,False
Sr2NiIrO6,Sr2NiIrO6,A2,0.7017600849715758,-0.1595425492687583,0.0,1.562876032575517,1.7224185818442757,0.7982399150284242,False,0.730525165835545,0.8890460465579632,open,0.0,1.4413700064603103,A2,False
Sr2RhSnO6,Sr2SnRhO6,A2,0.6895741282295116,-0.1512224510619546,0.0,1.550579479196125,1.7018019302580796,0.8104258717704884,False,0.6699030421065073,0.7183146424079299,open,0.0,1.4291840497182464,A2,False
Sr2ReIrO6,Sr2ReIrO6,A2,0.6827835127551934,-0.2044692463871632,0.0,1.5975803815533798,1.802049627940543,0.8172164872448066,False,0.7814227409623775,1.1148514931180151,open,0.0,1.4223934342439284,A2,False
Sr2ZrMoO6,Sr2ZrMoO6,A2,0.6816846273749095,-0.1679803225453012,0.0,1.5177569359404852,1.6857372584857866,0.8183153726250905,False,0.7577466831202617,0.9113894061009048,open,0.0,1.4212945488636444,A2,False
Sr2MoGeO6,Sr2GeMoO6,A2,0.6778724011971878,-0.1974820792461795,0.0,1.517749104595896,1.7152311838420755,0.8221275988028122,False,0.7262134840432837,0.8744899316722939,open,0.0,1.4174823226859226,A2,False
Sr2CoRuO6,Sr2CoRuO6,A2,0.6777364284398276,-0.1876438757402836,0.0,1.5283083967725133,1.715952272512797,0.8222635715601724,False,0.6745246302207999,0.7547534207359674,open,0.0,1.4173463499285623,A2,False
Sr2ZrRuO6,Sr2ZrRuO6,A2,0.6657443643469206,-0.1739892689048686,0.0,1.5167831079014262,1.690772376806295,0.8342556356530794,False,0.6553530561316925,0.6873343383642262,open,0.0,1.4053542858356556,A2,False
Sr2IrGeO6,Sr2GeIrO6,A2,0.653988886850396,-0.2144146945831966,0.0,1.5196798751194291,1.7340945697026258,0.846011113149604,False,0.7076701435340392,0.8620533159203287,open,0.0,1.3935988083391309,A2,False
Sr2NbRuO6,Sr2NbRuO6,A2,0.6508909478614943,-0.1957981585471284,0.0,1.5076069548958375,1.703405113442966,0.8491090521385057,False,0.7302660332565413,0.936466941412961,open,0.0,1.390500869350229,A2,False
Sr2TaReO6,Sr2TaReO6,A2,0.6469130276975343,-0.2077807970845805,0.0,1.493742983471564,1.7015237805561445,0.8530869723024657,False,0.7879781865227988,1.1682140057315913,open,0.0,1.3865229491862692,A2,False
Sr2ZrWO6,Sr2ZrWO6,A2,0.6297308277399953,-0.2179347891241345,0.0,1.4760158943869088,1.6939506835110434,0.8702691722600047,False,0.7525303624362769,1.046674563650393,open,0.0,1.3693407492287302,A2,False
Sr2MoWO6,Sr2MoWO6,A2,0.6260133217664923,-0.2441278368028017,0.0,1.476051636553515,1.7201794733563167,0.8739866782335077,False,0.83725711370014,1.3217273053402796,open,0.0,1.365623243255227,A2,False
Sr2ScReO6,Sr2ScReO6,A2,0.6229157541570164,-0.2359932628857137,0.0,1.4775627068330066,1.7135559697187204,0.8770842458429836,False,0.6577187796668802,0.7311820448924334,open,0.0,1.362525675645751,A2,False
Sr2CrIrO6,Sr2CrIrO6,A2,0.6211013180681157,-0.213573247592396,0.0,1.471180063472295,1.684753311064691,0.8788986819318843,False,0.6581696662892781,0.8392449324499213,open,0.0,1.3607112395568506,A2,False
