formula,pred_OQMD,pred_zeros,pred_MP,d_zeros,d_MP
Sr2VCoO6,0.8674565099385881,0.8630906059661626,0.8895839173631455,-0.004365903972425533,0.02212740742455732
Sr2VNiO6,0.8256734019364368,0.8560339736650948,0.9105330148140043,0.030360571728658026,0.08485961287756749
Sr2VCuO6,0.41332173684290563,0.45520317032583446,0.5830958413109566,0.04188143348292883,0.16977410446805097
Sr2VYO6,2.219670712992562,2.2748380458238207,2.3547229456645664,0.05516733283125852,0.13505223267200428
Sr2VZrO6,0.9309954776607013,1.009373969866263,1.113988427417922,0.07837849220556159,0.18299294975722058
Sr2VNbO6,0.8961209802168272,0.9631351597457193,1.1128519123512977,0.0670141795288921,0.21673093213447048
Sr2VMoO6,0.8367404244406108,0.9436791768359234,1.2193332450315408,0.10693875239531259,0.38259282059093
Sr2VRuO6,0.7020099760869618,0.7478827838654779,0.927477649349491,0.0458728077785161,0.22546767326252914
Sr2VRhO6,0.7473289999191746,0.8037780123648172,0.9409070503678149,0.0564490124456426,0.1935780504486403
Sr2VPdO6,0.5223691676820046,0.566935390267735,0.6821789318353789,0.0445662225857304,0.15980976415337433
Sr2VHfO6,1.2025652944232619,1.2796649380332965,1.4340701156721152,0.07709964361003463,0.2315048212488533
Sr2VTaO6,0.8738604859533121,0.9943452956257235,1.237328917062178,0.12048480967241137,0.36346843110886584
Sr2VWO6,0.7302168840868442,0.9246223410977898,1.4054790704553757,0.1944054570109457,0.6752621863685315
Sr2VReO6,0.5901241479883959,0.7182165685079704,1.035861442763629,0.1280924205195746,0.44573729477523316
Sr2VIrO6,0.9732606351883866,1.0239453806124135,1.2498728781570807,0.0506847454240269,0.27661224296869413
Sr2VAlO6,1.6749931609954305,1.746990255887598,1.9035429316909245,0.07199709489216755,0.22854977069549398
Sr2VGaO6,2.457594196735502,2.4752158447702377,2.466264189556524,0.01762164803473576,0.008669992821022099
Sr2VInO6,2.114573734283795,2.168804656502824,2.238971050865605,0.0542309222190287,0.12439731658180975
Sr2VGeO6,1.4054652446344156,1.4836846140595317,1.6216561778865253,0.07821936942511609,0.2161909332521097
Sr2VSnO6,1.6961198255130228,1.7599116159452135,1.8658310708429966,0.06379179043219074,0.16971124532997384
Sr2VSbO6,1.6352287844785631,1.7067809028306882,1.8400978419273264,0.07155211835212505,0.20486905744876327
Sr2VBiO6,2.3371347436022645,2.3545026279318586,2.423187818169853,0.01736788432959413,0.0860530745675887
Sr2VTeO6,1.4987391292676053,1.5587584200725615,1.672034612689833,0.06001929080495616,0.17329548342222778
Sr2CrMnO6,0.6138736526002977,0.6833535237059724,0.8204435700884966,0.06947987110567466,0.20656991748819886
Sr2CrFeO6,0.6145371947687807,0.6893389530589963,0.8169022851305641,0.07480175829021563,0.2023650903617834
Sr2CrCoO6,0.5942953130097154,0.6129593519544861,0.7087623154920847,0.018664038944770756,0.1144670024823693
Sr2CrNiO6,0.5199638718711607,0.5737878245962001,0.7447104278663425,0.05382395272503948,0.22474655599518178
