band_gap,src
1.1579999999999995,OQMD
0.7410000000000005,OQMD
1.1193,MP
3.058,OQMD
1.1336,MP
2.2700000000000005,OQMD
1.7960000000000003,OQMD
1.7799999999999998,OQMD
2.3699999999999997,OQMD
2.509,OQMD
3.1090000000000004,OQMD
1.92,OQMD
0.476,OQMD
0.9089999999999998,OQMD
0.7429999999999999,OQMD
1.803,OQMD
1.5860000000000003,OQMD
0.6579999999999999,OQMD
1.112,OQMD
3.2470000000000003,OQMD
1.372,OQMD
2.8081,MP
0.4119999999999999,OQMD
0.6280000000000001,OQMD
0.6299999999999994,OQMD
3.8790000000000004,OQMD
2.328,OQMD
2.4530000000000003,OQMD
3.239,OQMD
1.8969999999999998,OQMD
1.6799999999999997,OQMD
3.6031500000000003,AFLOW
1.644,OQMD
2.01,OQMD
3.2335,MP
2.295,OQMD
2.181,OQMD
3.3409,MP
1.819,OQMD
0.5410000000000004,OQMD
2.4664,MP
1.9800000000000004,OQMD
2.5489999999999995,OQMD
1.701,OQMD
2.371,OQMD
1.317599999999999,MP
4.114000000000001,OQMD
3.090699999999999,MP
0.852,OQMD
0.06820000000000001,MP
1.2649999999999997,OQMD
0.5260000000000002,OQMD
0.6280000000000001,OQMD
0.617,OQMD
0.9630000000000001,OQMD
1.488,OQMD
2.6040000000000005,OQMD
1.0309999999999997,OQMD
1.1150000000000002,OQMD
3.86,OQMD
1.033,MP
2.693,OQMD
1.251,OQMD
3.271,OQMD
2.0089999999999995,OQMD
3.0601,MP
1.7704,MP
0.32099999999999973,OQMD
0.627,OQMD
2.3989999999999996,OQMD
0.8740000000000001,OQMD
0.4710000000000001,OQMD
3.0173,MP
2.493,OQMD
4.128,OQMD
2.469,OQMD
3.0379999999999994,OQMD
1.988,OQMD
2.6260000000000003,OQMD
0.432,OQMD
2.065,OQMD
0.6619999999999999,OQMD
3.2929999999999997,OQMD
0.33599999999999985,OQMD
2.3761,MP
2.2019999999999995,OQMD
1.1479999999999997,OQMD
1.1059999999999999,OQMD
0.8920000000000003,OQMD
0.33,OQMD
1.0750000000000002,OQMD
0.6150000000000002,OQMD
0.42689999999999906,MP
0.49299999999999944,OQMD
1.45,OQMD
1.244,OQMD
2.1260000000000003,OQMD
4.019,OQMD
0.4029999999999996,OQMD
2.0960000000000005,OQMD
2.093,OQMD
0.42799999999999905,MP
4.507,OQMD
0.33599999999999985,OQMD
0.41800000000000015,OQMD
0.511,OQMD
0.657,OQMD
0.605,OQMD
0.6230000000000002,OQMD
0.641,OQMD
1.637,OQMD
1.193,OQMD
1.0350000000000001,OQMD
0.7970000000000006,OQMD
0.9940000000000002,OQMD
1.8503,MP
3.3339999999999996,OQMD
1.0700000000000003,OQMD
2.8426,MP
3.282,OQMD
1.5489999999999995,OQMD
2.308,OQMD
3.6902,MP
1.2320000000000002,OQMD
2.817000000000001,OQMD
0.623,OQMD
1.271,OQMD
2.336999999999999,MP
1.9759999999999995,OQMD
3.246499999999999,MP
4.286,OQMD
0.615,OQMD
1.8298,MP
2.381,OQMD
2.555,OQMD
2.7302,MP
1.057,OQMD
0.8300000000000001,OQMD
2.014,OQMD
0.3879999999999999,OQMD
0.7989999999999995,OQMD
1.7737999999999992,MP
0.6500000000000004,OQMD
2.91,OQMD
1.205,OQMD
1.1219999999999999,OQMD
2.521,OQMD
2.049,OQMD
1.6332,MP
4.773,OQMD
0.9289999999999998,OQMD
1.2400000000000007,OQMD
1.025,OQMD
3.49,OQMD
2.458,OQMD
3.4930000000000003,OQMD
1.967,OQMD
