formula,formula_norm,tier,bg_pred,bg_ci_lo,bg_ci_lo_clip,bg_ci_hi,ci_width,dist_to_pv_centre,metal_risk,bg_pred_zeros,bg_pred_MP
Sr2NbGeO6,Sr2NbGeO6,A2,1.8871806872071248,1.0436367823772428,1.0436367823772428,2.755183751353638,1.7115469689763954,0.38718068720712484,False,1.9357326316169217,2.03435057692089
Sr2IrAlO6,Sr2AlIrO6,A2,1.1098793953589365,0.23899552360919663,0.23899552360919663,1.987918517398141,1.7489229937889443,0.39012060464106346,False,1.175639095424686,1.3591083551333805
Sr2ReAlO6,Sr2AlReO6,A2,1.1019659458590219,0.2259139799968144,0.2259139799968144,1.9535200539467483,1.727606073949934,0.39803405414097814,False,1.1802373900347838,1.3462287437109197
Sr2RhHfO6,Sr2HfRhO6,A2,1.0850806690805042,0.24228297833359824,0.24228297833359824,1.9329239835750343,1.690641005241436,0.41491933091949584,False,1.0994164972929406,1.2544358067490589
Sr2MnIrO6,Sr2MnIrO6,A2,1.0605724468048,0.2061268506662025,0.2061268506662025,1.9192984179002133,1.7131715672340109,0.4394275531952001,False,1.0831291025939624,1.2469705418520092
Sr2MoSbO6,Sr2SbMoO6,A2,1.0571932118974656,0.2052627223690282,0.2052627223690282,1.9015646822248704,1.6963019598558422,0.4428067881025344,False,1.0486999745468724,1.1252271245926002
Sr2WBiO6,Sr2BiWO6,A2,1.9474702367053105,1.106799763302343,1.106799763302343,2.7959343023011805,1.6891345389988375,0.4474702367053105,False,1.9125671973807548,1.8646473499025895
Sr2CrTeO6,Sr2CrTeO6,A2,1.0350148586029067,0.1730929062798725,0.1730929062798725,1.9263698065344843,1.7532769002546118,0.46498514139709335,False,1.0452114222434303,1.1743797461552872
Sr2NiGeO6,Sr2NiGeO6,A2,1.024915673684261,0.154878628592372,0.154878628592372,1.8698270153335104,1.7149483867411384,0.47508432631573894,False,1.0465146648921515,1.2126571719204822
Sr2MoTeO6,Sr2TeMoO6,A2,0.9966758666516395,0.14326860505639516,0.14326860505639516,1.8757750145740217,1.7325064095176266,0.5033241333483605,False,1.0008914008602505,1.0723249213409571
Sr2FeIrO6,Sr2FeIrO6,A2,0.9933759897811313,0.14624520886832526,0.14624520886832526,1.8457858731669685,1.6995406642986433,0.5066240102188687,False,1.060095179089084,1.2396816565954676
Sr2NbTaO6,Sr2TaNbO6,A2,0.9836737769333466,0.12293071761226881,0.12293071761226881,1.8311744366661131,1.7082437190538444,0.5163262230666534,False,1.1372231903959684,1.489832718642385
Sr2NbTeO6,Sr2NbTeO6,A2,2.041778454117179,1.2015170639574004,1.2015170639574004,2.907606800425346,1.7060897364679455,0.5417784541171788,False,2.023869913305087,2.05028691517199
Sr2TiIrO6,Sr2TiIrO6,A2,0.9572235998915383,0.11906501612142972,0.11906501612142972,1.8178138019468586,1.6987487858254289,0.5427764001084617,False,0.9950012717343797,1.2028000159452215
Sr2ScTeO6,Sr2ScTeO6,A2,2.051171488678743,1.1275040990082776,1.1275040990082776,3.112542243812149,1.9850381448038714,0.5511714886787429,False,2.1051737330695075,2.1824261335723443
Sr2RuTaO6,Sr2TaRuO6,A2,0.9413017931681251,0.09112481659794391,0.09112481659794391,1.778239428870723,1.6871146122727791,0.5586982068318749,False,1.0297649994742,1.2872516703872927
Sr2MoAlO6,Sr2AlMoO6,A2,0.9235328987577992,0.07751130785512828,0.07751130785512828,1.8055194067609945,1.7280080989058662,0.5764671012422008,False,1.0226811580992805,1.248304647141746
Sr2YIrO6,Sr2YIrO6,A2,0.9122255909736999,0.07649279072987758,0.07649279072987758,1.7897534635091927,1.7132606727793152,0.5877744090263001,False,0.9381236357785661,1.14633091849202
Sr2RuHfO6,Sr2HfRuO6,A2,0.8809867003939401,0.034783178190471165,0.034783178190471165,1.7212964839700557,1.6865133057795845,0.6190132996060599,False,0.8926794621556834,0.9390941297316339
Sr2YReO6,Sr2YReO6,A2,0.8753165096395916,0.016650098777298727,0.016650098777298727,1.7344784206950554,1.7178283219177568,0.6246834903604084,False,0.903294813812261,0.9721330154414155
Sr2CrReO6,Sr2CrReO6,A2,0.8616515166792597,0.01670602759676465,0.01670602759676465,1.7157472598104182,1.6990412322136534,0.6383484833207403,False,0.941832966108929,1.1862862383581034
Sr2ZrRhO6,Sr2ZrRhO6,A2,0.8501044896285701,0.01528495216047765,0.01528495216047765,1.7109372327778265,1.6956522806173489,0.6498955103714299,False,0.8597745426472888,0.9475235391617894
Sr2ScIrO6,Sr2ScIrO6,A2,0.8440131466817101,-0.0021232446543973937,0.0,1.7137167029401006,1.7158399475944979,0.6559868533182899,False,0.8849139459561449,1.0925884008773155
Sr2IrTeO6,Sr2TeIrO6,A2,0.8365382041123842,-0.012918767955239718,0.0,1.6848148319474352,1.697733599902675,0.6634617958876158,False,0.8681868532812963,0.9817294868037976
Sr2WReO6,Sr2ReWO6,A2,0.8301024021846006,-0.01590799013776123,0.0,1.685121643886847,1.7010296340246083,0.6698975978153994,False,0.9747250723868837,1.402095047125574
Sr2RuReO6,Sr2ReRuO6,A2,0.8268944606610198,-0.0235220106958709,0.0,1.6748117436609862,1.698333754356857,0.6731055393389802,False,0.8356185735167185,0.9166689251544626
Sr2NbSnO6,Sr2NbSnO6,A2,2.1776575221733587,1.330072910676663,1.330072910676663,3.0517823238570747,1.7217094131804118,0.6776575221733587,False,2.1820133138110225,2.219733625211128
Sr2HfWO6,Sr2HfWO6,A2,0.7995676074911052,-0.060522805708776994,0.0,1.6676050651030505,1.7281278708118275,0.7004323925088948,False,0.9194692804990653,1.2585753338394452
Sr2RhReO6,Sr2ReRhO6,A2,0.7779918589414127,-0.06112629848623907,0.0,1.6415407960989339,1.702667094585173,0.7220081410585873,False,0.8222869539689309,1.0883278862529773
Sr2MoHfO6,Sr2HfMoO6,A2,0.7712636582707548,-0.08750525278166865,0.0,1.617708974656685,1.7052142274383537,0.7287363417292452,False,0.8840819435968872,1.1535711726316165
Sr2WInO6,Sr2InWO6,A2,2.231328535499163,1.3851585888138098,1.3851585888138098,3.074935200976112,1.6897766121623023,0.7313285354991632,False,2.2403253414176874,2.267853814514156
Sr2WGaO6,Sr2GaWO6,A2,2.2375158111747044,1.3879938385306831,1.3879938385306831,3.1022049392870645,1.7142111007563814,0.7375158111747044,False,2.2459481725328625,2.268793081721126
Sr2RuIrO6,Sr2IrRuO6,A2,0.742849422921539,-0.10049013860983647,0.0,1.5848533382713126,1.685343476881149,0.757150577078461,False,0.7786041786074231,0.95943121278381
Sr2WIrO6,Sr2IrWO6,A2,0.7407052941019985,-0.10374225603931042,0.0,1.5854293256243348,1.6891715816636452,0.7592947058980015,False,0.8764051643423598,1.2351349626859778
Sr2IrSnO6,Sr2SnIrO6,A2,0.7367036536585224,-0.10748230953616134,0.0,1.5927703594200224,1.7002526689561837,0.7632963463414776,False,0.7655407278935241,0.8997106136864887
Sr2ScWO6,Sr2ScWO6,A2,0.7335558523955428,-0.11225667196362221,0.0,1.5807339048891853,1.6929905768528075,0.7664441476044572,False,0.8507857947137508,1.1108447102513384
Sr2ReBiO6,Sr2ReBiO6,A2,0.7320178383988648,-0.10709703094797363,0.0,1.6101090282541732,1.7172060592021468,0.7679821616011352,False,0.7288644825296122,0.7715571973070764
Sr2NbReO6,Sr2NbReO6,A2,0.7139082886926849,-0.14051667542721957,0.0,1.558555947743668,1.6990726231708875,0.7860917113073151,False,0.8406229158155004,1.1455769871783223
Sr2MoReO6,Sr2ReMoO6,A2,0.7116579632484993,-0.14181851368227494,0.0,1.5538905224112467,1.6957090360935216,0.7883420367515007,False,0.8354849857978387,1.1918462278766655
Sr2TiRhO6,Sr2TiRhO6,A2,0.7078140026068782,-0.1369039787018792,0.0,1.5535649144082422,1.6904688931101215,0.7921859973931218,False,0.7437730906016153,0.8517670930083715
Sr2VRuO6,Sr2VRuO6,A2,0.7020099760869618,-0.13430820652993314,0.0,1.5493978729454843,1.6837060794754173,0.7979900239130382,False,0.7478827838654779,0.927477649349491
Sr2IrGaO6,Sr2GaIrO6,A2,0.7019505153846869,-0.15796657810976866,0.0,1.5566816410680908,1.7146482191778594,0.7980494846153131,False,0.7041630655868691,0.8028516242829032
Sr2NiIrO6,Sr2NiIrO6,A2,0.7017600849715758,-0.15954254926875833,0.0,1.5628760325755173,1.7224185818442757,0.7982399150284242,False,0.730525165835545,0.8890460465579632
Sr2RhSnO6,Sr2SnRhO6,A2,0.6895741282295116,-0.15122245106195464,0.0,1.550579479196125,1.7018019302580796,0.8104258717704884,False,0.6699030421065073,0.7183146424079299
Sr2ReIrO6,Sr2ReIrO6,A2,0.6827835127551934,-0.20446924638716324,0.0,1.5975803815533798,1.802049627940543,0.8172164872448066,False,0.7814227409623775,1.1148514931180153
Sr2ZrMoO6,Sr2ZrMoO6,A2,0.6816846273749095,-0.16798032254530126,0.0,1.5177569359404852,1.6857372584857866,0.8183153726250905,False,0.7577466831202617,0.9113894061009047
Sr2MoGeO6,Sr2GeMoO6,A2,0.6778724011971878,-0.19748207924617955,0.0,1.517749104595896,1.7152311838420755,0.8221275988028122,False,0.7262134840432837,0.8744899316722939
